City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,San Javier,ES,37.81,-0.84,71.01,83,40,6.93,scattered clouds
232,Andradas,BR,-22.07,-46.57,63.48,52,0,5.37,clear sky
233,Charters Towers,AU,-20.1,146.27,83.41,27,0,8.57,clear sky
234,La Massana,AD,42.57,1.48,52.0,76,0,1.03,clear sky
235,Hit,IQ,33.64,42.83,102.65,8,0,18.5,clear sky
236,Yibin,CN,28.77,104.62,85.91,59,89,3.96,overcast clouds
237,Papara,BR,-3.98,-38.73,78.8,74,75,17.22,broken clouds
238,Bintulu,MY,3.17,113.03,86.0,79,40,6.93,scattered clouds
239,Onokhoy,RU,51.93,108.07,69.8,49,20,4.47,few clouds
240,Orapa,BW,-21.28,25.37,66.49,49,0,12.01,clear sky
241,Emmett,US,43.87,-116.5,75.0,35,0,5.84,clear sky
242,Chapais,CA,49.78,-74.85,53.6,93,90,13.87,overcast clouds
243,Abu Kamal,SY,34.45,40.92,100.78,9,0,10.78,clear sky
244,Colares,PT,38.8,-9.45,72.0,47,0,7.81,clear sky
245,Tuatapere,NZ,-46.13,167.68,48.74,90,100,7.14,overcast clouds
246,Mount Darwin,ZW,-16.77,31.58,61.41,68,6,3.67,clear sky
247,Vardo,NO,70.37,31.11,55.4,76,25,8.05,scattered clouds
248,Verkhoyansk,RU,67.54,133.38,57.07,74,100,7.9,light rain
249,Abbeville,FR,50.1,1.83,63.0,69,84,6.31,broken clouds
250,Havoysund,NO,71.0,24.66,57.2,71,36,23.04,scattered clouds
251,Jalu,LY,29.03,21.55,79.59,51,0,10.4,clear sky
252,Libreville,GA,0.39,9.45,75.2,94,75,10.29,light rain
253,Baglung,NP,28.27,83.59,82.13,60,72,4.32,broken clouds
254,Kintinku,TZ,-5.88,35.23,64.4,77,20,11.41,few clouds
255,Miranda,CO,3.25,-76.23,65.5,72,77,3.62,broken clouds
256,Iqaluit,CA,63.75,-68.51,39.2,69,20,5.82,few clouds
257,Lompoc,US,34.64,-120.46,59.0,87,90,5.82,overcast clouds
258,Yulara,AU,-25.24,130.99,82.4,13,99,11.41,overcast clouds
259,Adrar,MR,20.5,-10.07,88.9,41,37,8.01,scattered clouds
260,Tabuk,PH,17.42,121.44,88.21,67,65,3.65,broken clouds
261,Nome,US,64.5,-165.41,44.6,93,90,16.11,light rain
262,Port Lincoln,AU,-34.73,135.87,61.5,65,36,21.09,scattered clouds
263,Bambanglipuro,ID,-7.95,110.28,86.79,62,68,16.55,broken clouds
264,Porto Walter,BR,-8.27,-72.74,73.92,80,46,1.41,scattered clouds
265,Hami,CN,42.8,93.45,90.48,12,100,3.09,overcast clouds
266,Kysyl-Syr,RU,63.9,122.76,65.3,45,10,4.16,clear sky
267,Krasnyy Kut,RU,50.95,46.97,63.79,48,0,12.03,clear sky
268,Constitucion,CL,-35.33,-72.42,49.57,79,100,7.52,overcast clouds
269,Susa,TN,35.83,10.64,77.0,73,75,18.34,broken clouds
270,Sawtell,AU,-30.38,153.1,78.01,64,0,21.92,clear sky
271,Kangaatsiaq,GL,68.31,-53.46,39.85,69,100,19.84,overcast clouds
272,Liwale,TZ,-9.77,37.93,74.21,59,11,7.43,few clouds
273,Marrakesh,MA,31.63,-8.01,71.6,60,0,4.7,clear sky
274,Zhigansk,RU,66.77,123.37,60.26,55,44,14.45,scattered clouds
275,Regina,CA,50.45,-104.62,55.99,71,40,5.82,scattered clouds
276,Smoky Lake,CA,54.12,-112.47,48.99,91,57,4.85,broken clouds
277,Asau,RO,46.43,26.4,57.99,99,99,4.29,light rain
278,Fort Frances,CA,48.6,-93.4,48.2,70,75,4.7,broken clouds
279,Saskylakh,RU,71.92,114.08,49.48,87,100,11.59,light rain
280,Comodoro Rivadavia,AR,-45.87,-67.5,42.8,60,0,13.87,clear sky
281,El Porvenir,HN,13.76,-87.35,66.2,93,90,2.3,overcast clouds
282,Labuhan,ID,-6.88,112.21,89.24,55,10,10.13,clear sky
283,Gorodishche,RU,48.8,44.47,64.0,33,0,13.42,clear sky
